robot 0 path size is 191
92	34	199
47	51	187
93	73	198
20	22	187
22	25	199
48	51	191
38	31	195
11	14	189
103	80	196
36	36	188
63	6	193
20	23	182
59	36	182
47	53	187
42	44	184
58	11	183
27	30	181
25	31	181
56	59	185
30	30	192
43	43	199
71	49	184
33	39	188
46	36	180
96	31	182
62	62	200
49	49	198
44	44	199
72	72	186
73	45	189
40	29	190
51	54	182
109	63	190
23	25	200
56	52	183
31	33	184
52	17	185
36	39	186
72	42	184
46	46	180
33	33	192
53	53	193
51	51	193
40	2	180

robot 3 path size is 168
77	78	181
47	50	199
31	37	192
19	21	181
81	40	197
19	19	182
26	28	182
40	40	184
49	49	195
105	33	196
32	35	196
35	38	190
41	43	194
42	45	196
49	49	184
20	23	194
28	31	199
32	37	186
49	49	196
39	42	191
43	46	186
29	34	192
49	55	200
50	52	183
32	35	180
51	54	185
55	58	186
54	55	197
31	34	190
27	30	194
36	42	190
41	45	185
21	27	199
53	54	195
16	19	197
25	28	195
23	27	184
33	39	188
47	47	198
39	42	180
47	50	191
45	45	192
52	55	192
63	63	186
28	31	186
88	29	191
100	20	186
33	38	196
65	65	198
43	46	184
93	25	185
42	42	193
54	54	180
59	59	182
43	43	193
73	50	193
54	54	197
58	59	189
41	41	188
48	46	187
50	50	186
32	32	197
53	55	180
42	40	200
46	46	187
64	62	196
28	34	197
30	35	197
38	38	198
43	46	199
43	46	194
52	52	184
38	41	188
51	54	188
46	52	199
65	51	200
13	14	195
28	29	185
33	32	193
39	39	182
43	43	199
33	31	198
50	50	197
25	25	200
26	27	190
30	30	186
50	49	187
52	51	183
35	35	194
55	55	195
28	28	184
39	39	185
45	47	190
8	5	190
16	16	191
57	55	188
51	51	195
47	47	188
44	44	180
44	44	188
57	57	193
32	33	194
43	42	193
55	55	191
39	39	190
68	53	198
41	47	186
49	49	184
34	37	190
46	51	181
35	35	198
67	50	189
22	22	185
38	38	191
52	52	199
92	29	194
28	31	189
31	37	182
46	51	191
75	49	198
47	48	188
58	58	182
58	57	196
40	40	199
15	15	183
20	20	184
49	49	196
58	58	194
34	34	193
73	47	186
22	24	191
40	43	185
46	49	199
1	4	187
48	51	183
51	57	196
94	23	195
22	22	191
29	32	185
38	37	192
43	43	186
45	45	193
49	48	188
35	35	182
50	50	184
20	23	182
31	28	199
55	55	187
56	56	184
19	16	195
38	38	188
16	14	193
58	58	194
69	51	200
50	52	191
54	57	192
59	61	185
59	62	186
43	49	195
74	75	186
41	44	193
43	46	186
98	59	197
37	39	184
76	78	187
50	48	183
56	56	191
63	60	191

robot 4 path size is 151
65	59	188
56	60	195
62	66	187
39	35	192
93	23	182
6	6	200
50	48	181
20	20	186
80	56	199
53	58	185
42	30	183
48	51	193
13	13	184
46	25	189
96	49	184
63	51	200
33	33	189
40	40	199
68	30	198
45	48	188
102	58	198
49	25	188
42	27	189
106	13	195
23	22	186
25	25	195
30	30	180
36	36	181
43	43	194
56	56	189
42	42	194
71	67	199
65	58	194
59	55	189
20	20	196
52	52	191
52	52	184
6	6	189
35	34	200
48	48	191
42	42	191
60	62	190
44	50	196
57	40	189
60	61	196
58	55	196
57	57	191
39	39	198
60	41	180
74	69	200
56	56	191
63	68	193
96	33	186
53	53	190
79	37	196
39	32	190
15	18	180
73	50	189
72	23	195
29	29	193
37	36	191
47	47	189
37	37	184
85	15	187
81	40	192
23	25	183
46	44	182
76	28	186
51	35	194
13	19	187
39	45	194
37	42	192
38	44	182
85	62	198
61	65	191
45	51	194
71	71	180
104	16	200
22	24	191
